data,inadimplencia_total,selic_mensal,ipca_mensal,taxa_desemprego,confianca_consumidor
2022-01-01,200,0.7322755953917515,0.54,11.2,108.35
2022-02-01,230,0.8349151943597644,1.01,11.2,104.05
2022-03-01,250,0.8848119764249596,1.62,11.1,105.12
2022-04-01,280,0.9225527942744893,1.06,10.5,104.35
2022-05-01,310,0.987378062878097,0.47,9.8,105.87
2022-06-01,330,1.0153436055415632,0.67,9.3,103.6
